Super Bowl,TimeRemaining,Away,Away - Total Yards,Away - Time of Possession,Home,Home - Total Yards,Home - Time of Possession,Attendance,Capacity,Location,Date,Over/Under,Line,MVP,Position,Full Away Team Name,Full Home Team Name
Super Bowl 52,3600,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3594,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3560,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3517,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3492,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3456,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3450,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3407,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3367,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3329,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3291,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3247,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3210,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3189,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3183,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3178,0,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3175,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3175,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3175,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3175,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3172,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3156,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3135,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3105,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3080,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3039,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
Super Bowl 52,3007,3,538,34:04:00,0,613,25:56:00,67612,73000,"Minneapolis, MN",4-Feb-18,50,NE -4.0,Nick Foles,Quarterback,Philadelphia Eagles,New England Patriots
